,Last_Price,Company Name,Sector
AAPL,198.85000610351562,Apple Inc.,Technology
MSFT,390.489990234375,Microsoft Corporation,Technology
NVDA,114.33000183105469,NVIDIA Corporation,Technology
AMZN,191.10000610351562,"Amazon.com, Inc.",Consumer Discretionary
GOOGL,158.7100067138672,Alphabet Inc.,Communication Services
GOOG,161.05999755859375,Alphabet Inc.,Communication Services
BRK-B,521.4099731445312,Berkshire Hathaway Inc.,Financials
WMT,89.5999984741211,Walmart Inc.,Consumer Staples
LLY,753.7100219726562,Eli Lilly and Company,Healthcare
JPM,234.33999633789062,JPMorgan Chase & Co.,Financials
UNH,578.5,UnitedHealth Group Incorporated,Healthcare
XOM,105.80000305175781,Exxon Mobil Corporation,Energy
COST,965.1900024414062,Costco Wholesale Corporation,Consumer Staples
NFLX,945.469970703125,"Netflix, Inc.",Communication Services
ORCL,139.69000244140625,Oracle Corporation,Technology
PG,162.32000732421875,The Procter & Gamble Company,Consumer Staples
JNJ,150.97000122070312,Johnson & Johnson,Healthcare
HD,355.3900146484375,"The Home Depot, Inc.",Consumer Discretionary
KO,69.94999694824219,The Coca-Cola Company,Consumer Staples
BAC,37.150001525878906,Bank of America Corporation,Financials
CVX,146.02999877929688,Chevron Corporation,Energy
CRM,265.1700134277344,"Salesforce, Inc.",Technology
CSCO,58.130001068115234,"Cisco Systems, Inc.",Technology
ABT,127.04000091552734,Abbott Laboratories,Healthcare
IBM,235.30999755859375,International Business Machines Corporation,Technology
MCD,303.9599914550781,McDonald's Corporation,Consumer Discretionary
WFC,66.33000183105469,Wells Fargo & Company,Financials
LIN,445.9700012207031,Linde plc,Materials
MRK,81.91000366210938,"Merck & Co., Inc.",Healthcare
GE,187.27000427246094,General Electric Company,Industrials
PEP,145.58999633789062,"PepsiCo, Inc.",Consumer Staples
T,26.469999313354492,AT&T Inc.,Communication Services
ACN,299.94000244140625,Accenture plc,Technology
ISRG,522.9500122070312,"Intuitive Surgical, Inc.",Healthcare
VZ,42.88999938964844,Verizon Communications Inc.,Communication Services
AXP,262.3599853515625,American Express Company,Financials
MS,111.69999694824219,Morgan Stanley,Financials
RTX,128.42999267578125,RTX Corporation,Industrials
TMO,453.54998779296875,Thermo Fisher Scientific Inc.,Healthcare
GS,516.8699951171875,"The Goldman Sachs Group, Inc.",Financials
INTU,596.47998046875,Intuit Inc.,Technology
DIS,91.44000244140625,The Walt Disney Company,Communication Services
PGR,270.1099853515625,The Progressive Corporation,Financials
QCOM,143.58999633789062,QUALCOMM Incorporated,Technology
AMD,96.83999633789062,"Advanced Micro Devices, Inc.",Technology
AMGN,291.0899963378906,Amgen Inc.,Healthcare
ADBE,364.6400146484375,Adobe Inc.,Technology
TXN,169.5,Texas Instruments Incorporated,Technology
BKNG,4616.31982421875,Booking Holdings Inc.,Consumer Discretionary
SPGI,473.989990234375,S&P Global Inc.,Financials
CAT,301.010009765625,Caterpillar Inc.,Industrials
BSX,96.7699966430664,Boston Scientific Corporation,Healthcare
TJX,126.05000305175781,"The TJX Companies, Inc.",Consumer Discretionary
BLK,897.0800170898438,"BlackRock, Inc.",Financials
NEE,67.58000183105469,"NextEra Energy, Inc.",Utilities
SYK,362.9700012207031,Stryker Corporation,Healthcare
DHR,191.88999938964844,Danaher Corporation,Healthcare
SCHW,75.25,The Charles Schwab Corporation,Financials
UNP,223.52999877929688,Union Pacific Corporation,Industrials
CMCSA,35.18000030517578,Comcast Corporation,Communication Services
GILD,105.25,"Gilead Sciences, Inc.",Healthcare
HON,199.10000610351562,Honeywell International Inc.,Industrials
PFE,22.489999771118164,Pfizer Inc.,Healthcare
LOW,223.1999969482422,"Lowe's Companies, Inc.",Consumer Discretionary
VRTX,482.29998779296875,Vertex Pharmaceuticals Incorporated,Healthcare
DE,452.5899963378906,Deere & Company,Industrials
AMAT,149.72999572753906,"Applied Materials, Inc.",Technology
BA,160.82000732421875,The Boeing Company,Industrials
C,64.1500015258789,Citigroup Inc.,Financials
ADP,294.69000244140625,"Automatic Data Processing, Inc.",Technology
FI,210.3800048828125,"Fiserv, Inc.",Technology
COP,91.51000213623047,ConocoPhillips,Energy
CB,284.6199951171875,Chubb Limited,Financials
MMC,229.55999755859375,"Marsh & McLennan Companies, Inc.",Financials
ETN,283.5899963378906,Eaton Corporation plc,Industrials
MDT,85.27999877929688,Medtronic plc,Healthcare
BMY,53.7400016784668,Bristol-Myers Squibb Company,Healthcare
LMT,462.239990234375,Lockheed Martin Corporation,Industrials
SBUX,88.68000030517578,Starbucks Corporation,Consumer Discretionary
ELV,435.67999267578125,"Elevance Health, Inc.",Healthcare
ADI,196.6300048828125,"Analog Devices, Inc.",Technology
AMT,207.47999572753906,American Tower Corporation,Real Estate
SO,87.80000305175781,The Southern Company,Utilities
MO,56.36000061035156,"Altria Group, Inc.",Consumer Staples
INTC,21.530000686645508,Intel Corporation,Technology
KLAC,703.3099975585938,KLA Corporation,Technology
PLD,98.22000122070312,"Prologis, Inc.",Real Estate
CME,254.1300048828125,CME Group Inc.,Financials
LRCX,71.11000061035156,Lam Research Corporation,Technology
WELL,141.49000549316406,Welltower Inc.,Real Estate
DUK,116.30999755859375,Duke Energy Corporation,Utilities
WM,224.4199981689453,"Waste Management, Inc.",Industrials
ICE,156.80999755859375,"Intercontinental Exchange, Inc.",Financials
CVS,70.18000030517578,CVS Health Corporation,Healthcare
NKE,59.31999969482422,"NIKE, Inc.",Consumer Discretionary
MU,77.87000274658203,"Micron Technology, Inc.",Technology
CI,319.989990234375,The Cigna Group,Healthcare
MDLZ,66.19000244140625,"Mondelez International, Inc.",Consumer Staples
UPS,99.66000366210938,"United Parcel Service, Inc.",Industrials
MCK,671.760009765625,McKesson Corporation,Healthcare
SHW,336.25,The Sherwin-Williams Company,Materials
AJG,323.82000732421875,Arthur J. Gallagher & Co.,Financials
CTAS,203.99000549316406,Cintas Corporation,Industrials
AON,373.3699951171875,Aon plc,Financials
APH,66.18000030517578,Amphenol Corporation,Technology
MCO,438.5899963378906,Moody's Corporation,Financials
EQIX,797.4299926757812,"Equinix, Inc.",Real Estate
ORLY,1348.449951171875,"O'Reilly Automotive, Inc.",Consumer Discretionary
TT,342.79998779296875,Trane Technologies plc,Industrials
PH,596.0999755859375,Parker-Hannifin Corporation,Industrials
RSG,239.25999450683594,"Republic Services, Inc.",Industrials
MMM,138.32000732421875,3M Company,Industrials
NOC,512.2999877929688,Northrop Grumman Corporation,Industrials
CL,90.2300033569336,Colgate-Palmolive Company,Consumer Staples
GD,271.5199890136719,General Dynamics Corporation,Industrials
CDNS,264.6499938964844,"Cadence Design Systems, Inc.",Technology
MSI,417.19000244140625,"Motorola Solutions, Inc.",Technology
ITW,234.8699951171875,Illinois Tool Works Inc.,Industrials
WMB,56.41999816894531,"The Williams Companies, Inc.",Energy
ECL,237.5500030517578,Ecolab Inc.,Materials
COF,174.91000366210938,Capital One Financial Corporation,Financials
SNPS,428.70001220703125,"Synopsys, Inc.",Technology
MAR,233.38999938964844,"Marriott International, Inc.",Consumer Discretionary
PNC,160.22999572753906,"The PNC Financial Services Group, Inc.",Financials
EOG,114.05000305175781,"EOG Resources, Inc.",Energy
REGN,576.719970703125,"Regeneron Pharmaceuticals, Inc.",Healthcare
USB,39.29999923706055,U.S. Bancorp,Financials
APD,270.20001220703125,"Air Products and Chemicals, Inc.",Materials
BDX,209.35000610351562,"Becton, Dickinson and Company",Healthcare
AZO,3575.1201171875,"AutoZone, Inc.",Consumer Discretionary
ROP,553.760009765625,"Roper Technologies, Inc.",Technology
EMR,104.43000030517578,Emerson Electric Co.,Industrials
SPG,153.17999267578125,"Simon Property Group, Inc.",Real Estate
AFL,105.30000305175781,Aflac Incorporated,Financials
BK,79.3499984741211,The Bank of New York Mellon Corporation,Financials
MNST,58.25,Monster Beverage Corporation,Consumer Staples
CPRT,58.52000045776367,"Copart, Inc.",Industrials
RCL,209.50999450683594,Royal Caribbean Cruises Ltd.,Consumer Discretionary
TRV,248.10000610351562,"The Travelers Companies, Inc.",Financials
ADSK,263.5299987792969,"Autodesk, Inc.",Technology
NEM,48.75,Newmont Corporation,Materials
AEP,102.3499984741211,"American Electric Power Company, Inc.",Utilities
CSX,28.65999984741211,CSX Corporation,Industrials
COR,273.8900146484375,"Cencora, Inc.",Healthcare
PAYX,146.14999389648438,"Paychex, Inc.",Technology
FDX,217.94000244140625,FedEx Corporation,Industrials
JCI,78.83000183105469,Johnson Controls International plc,Industrials
MET,75.23999786376953,"MetLife, Inc.",Financials
ALL,193.0,The Allstate Corporation,Financials
OKE,84.86000061035156,"ONEOK, Inc.",Energy
NSC,222.02000427246094,Norfolk Southern Corporation,Industrials
DLR,145.77000427246094,"Digital Realty Trust, Inc.",Real Estate
PSA,282.2900085449219,Public Storage,Real Estate
TFC,37.9900016784668,Truist Financial Corporation,Financials
PCAR,93.93000030517578,PACCAR Inc,Industrials
AIG,82.81999969482422,"American International Group, Inc.",Financials
SLB,35.97999954223633,Schlumberger Limited,Energy
FCX,33.7400016784668,Freeport-McMoRan Inc.,Materials
O,53.97999954223633,Realty Income Corporation,Real Estate
GWW,965.3699951171875,"W.W. Grainger, Inc.",Industrials
AMP,473.0,"Ameriprise Financial, Inc.",Financials
FICO,1848.0,Fair Isaac Corporation,Technology
