Ticker,Company Name,Sector
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corporation,Technology
NVDA,NVIDIA Corporation,Technology
AMZN,"Amazon.com, Inc.",Consumer Discretionary
GOOGL,Alphabet Inc.,Communication Services
GOOG,Alphabet Inc.,Communication Services
META,"Meta Platforms, Inc.",Communication Services
BRK-B,Berkshire Hathaway Inc.,Financials
TSLA,"Tesla, Inc.",Consumer Discretionary
AVGO,Broadcom Inc.,Technology
WMT,Walmart Inc.,Consumer Staples
LLY,Eli Lilly and Company,Healthcare
JPM,JPMorgan Chase & Co.,Financials
V,Visa Inc.,Financials
UNH,UnitedHealth Group Incorporated,Healthcare
MA,Mastercard Incorporated,Financials
XOM,Exxon Mobil Corporation,Energy
COST,Costco Wholesale Corporation,Consumer Staples
NFLX,"Netflix, Inc.",Communication Services
ORCL,Oracle Corporation,Technology
PG,The Procter & Gamble Company,Consumer Staples
JNJ,Johnson & Johnson,Healthcare
HD,"The Home Depot, Inc.",Consumer Discretionary
ABBV,AbbVie Inc.,Healthcare
KO,The Coca-Cola Company,Consumer Staples
TMUS,"T-Mobile US, Inc.",Communication Services
BAC,Bank of America Corporation,Financials
CVX,Chevron Corporation,Energy
CRM,"Salesforce, Inc.",Technology
PM,Philip Morris International Inc.,Consumer Staples
CSCO,"Cisco Systems, Inc.",Technology
ABT,Abbott Laboratories,Healthcare
IBM,International Business Machines Corporation,Technology
MCD,McDonald's Corporation,Consumer Discretionary
WFC,Wells Fargo & Company,Financials
PLTR,Palantir Technologies Inc.,Technology
LIN,Linde plc,Materials
MRK,"Merck & Co., Inc.",Healthcare
GE,General Electric Company,Industrials
PEP,"PepsiCo, Inc.",Consumer Staples
T,AT&T Inc.,Communication Services
ACN,Accenture plc,Technology
ISRG,"Intuitive Surgical, Inc.",Healthcare
VZ,Verizon Communications Inc.,Communication Services
AXP,American Express Company,Financials
MS,Morgan Stanley,Financials
RTX,RTX Corporation,Industrials
TMO,Thermo Fisher Scientific Inc.,Healthcare
NOW,"ServiceNow, Inc.",Technology
GS,"The Goldman Sachs Group, Inc.",Financials
BX,Blackstone Inc.,Financials
INTU,Intuit Inc.,Technology
DIS,The Walt Disney Company,Communication Services
PGR,The Progressive Corporation,Financials
QCOM,QUALCOMM Incorporated,Technology
AMD,"Advanced Micro Devices, Inc.",Technology
AMGN,Amgen Inc.,Healthcare
ADBE,Adobe Inc.,Technology
TXN,Texas Instruments Incorporated,Technology
UBER,"Uber Technologies, Inc.",Technology
BKNG,Booking Holdings Inc.,Consumer Discretionary
SPGI,S&P Global Inc.,Financials
CAT,Caterpillar Inc.,Industrials
BSX,Boston Scientific Corporation,Healthcare
TJX,"The TJX Companies, Inc.",Consumer Discretionary
BLK,"BlackRock, Inc.",Financials
NEE,"NextEra Energy, Inc.",Utilities
SYK,Stryker Corporation,Healthcare
DHR,Danaher Corporation,Healthcare
SCHW,The Charles Schwab Corporation,Financials
UNP,Union Pacific Corporation,Industrials
CMCSA,Comcast Corporation,Communication Services
GILD,"Gilead Sciences, Inc.",Healthcare
HON,Honeywell International Inc.,Industrials
PFE,Pfizer Inc.,Healthcare
LOW,"Lowe's Companies, Inc.",Consumer Discretionary
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare
DE,Deere & Company,Industrials
AMAT,"Applied Materials, Inc.",Technology
BA,The Boeing Company,Industrials
C,Citigroup Inc.,Financials
ADP,"Automatic Data Processing, Inc.",Technology
FI,"Fiserv, Inc.",Technology
COP,ConocoPhillips,Energy
PANW,"Palo Alto Networks, Inc.",Technology
CB,Chubb Limited,Financials
MMC,"Marsh & McLennan Companies, Inc.",Financials
ETN,Eaton Corporation plc,Industrials
MDT,Medtronic plc,Healthcare
BMY,Bristol-Myers Squibb Company,Healthcare
LMT,Lockheed Martin Corporation,Industrials
SBUX,Starbucks Corporation,Consumer Discretionary
ELV,"Elevance Health, Inc.",Healthcare
KKR,KKR & Co. Inc.,Financials
ADI,"Analog Devices, Inc.",Technology
AMT,American Tower Corporation,Real Estate
SO,The Southern Company,Utilities
ANET,Arista Networks Inc,Technology
MO,"Altria Group, Inc.",Consumer Staples
INTC,Intel Corporation,Technology
CRWD,"CrowdStrike Holdings, Inc.",Technology
KLAC,KLA Corporation,Technology
PLD,"Prologis, Inc.",Real Estate
CME,CME Group Inc.,Financials
LRCX,Lam Research Corporation,Technology
WELL,Welltower Inc.,Real Estate
DUK,Duke Energy Corporation,Utilities
WM,"Waste Management, Inc.",Industrials
ICE,"Intercontinental Exchange, Inc.",Financials
GEV,GE Vernova Inc.,Utilities
CVS,CVS Health Corporation,Healthcare
NKE,"NIKE, Inc.",Consumer Discretionary
MU,"Micron Technology, Inc.",Technology
CI,The Cigna Group,Healthcare
MDLZ,"Mondelez International, Inc.",Consumer Staples
UPS,"United Parcel Service, Inc.",Industrials
MCK,McKesson Corporation,Healthcare
SHW,The Sherwin-Williams Company,Materials
HCA,"HCA Healthcare, Inc.",Healthcare
AJG,Arthur J. Gallagher & Co.,Financials
CTAS,Cintas Corporation,Industrials
AON,Aon plc,Financials
APH,Amphenol Corporation,Technology
DASH,"DoorDash, Inc.",Communication Services
MCO,Moody's Corporation,Financials
EQIX,"Equinix, Inc.",Real Estate
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary
TT,Trane Technologies plc,Industrials
FTNT,"Fortinet, Inc.",Technology
PH,Parker-Hannifin Corporation,Industrials
ABNB,"Airbnb, Inc.",Consumer Discretionary
RSG,"Republic Services, Inc.",Industrials
MMM,3M Company,Industrials
TDG,TransDigm Group Incorporated,Industrials
NOC,Northrop Grumman Corporation,Industrials
APO,"Apollo Global Management, Inc.",Financials
CL,Colgate-Palmolive Company,Consumer Staples
GD,General Dynamics Corporation,Industrials
CDNS,"Cadence Design Systems, Inc.",Technology
MSI,"Motorola Solutions, Inc.",Technology
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary
ITW,Illinois Tool Works Inc.,Industrials
WMB,"The Williams Companies, Inc.",Energy
ZTS,Zoetis Inc.,Healthcare
CEG,Constellation Energy Corporation,Utilities
ECL,Ecolab Inc.,Materials
COF,Capital One Financial Corporation,Financials
SNPS,"Synopsys, Inc.",Technology
MAR,"Marriott International, Inc.",Consumer Discretionary
PNC,"The PNC Financial Services Group, Inc.",Financials
